table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_dws.dws_sk_report_manage_retain_di	影响p0核心8点基线表产出-速看dws管理维度报表留存指标高度汇总模型	/warehouse/idata_dws.db/dws_sk_report_manage_retain_di	1	07	06:01	dws_report_manage_free_index			无	郭金	1	d
idata_dws.t_dws_board_act_user_remain_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_act_user_remain_d	1	06	04:26	t_dws_board_dau_d			无	郭金	1	d
idata_dws.t_dws_board_act_user_remain_sc_d	影响p0核心8点基线表产出-市场活跃留存	/warehouse/idata_dws.db/t_dws_board_act_user_remain_sc_d	1	07	05:33				无	郭金	1	d
idata_dws.t_dws_board_dau_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_dau_d	1	06	04:23	t_dws_board_dau_d			无	郭金	1	d
idata_dws.t_dws_board_dau_sc_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_dau_sc_d	1	07	05:31				无	郭金	1	d
idata_dws.t_dws_board_new_user_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_new_user_d	1	06	04:24	t_dws_board_dau_d			无	郭金	1	d
idata_dws.t_dws_board_new_user_remain_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_new_user_remain_d	1	06	04:25	t_dws_board_dau_d			无	郭金	1	d
idata_dws.t_dws_board_new_user_remain_sc_d	影响p0核心8点基线表产出-市场新增留存	/warehouse/idata_dws.db/t_dws_board_new_user_remain_sc_d	1	07	05:31				无	郭金	1	d
idata_dws.t_dws_board_new_user_sc_d	影响p0核心8点基线表产出-市场新增用户	/warehouse/idata_dws.db/t_dws_board_new_user_sc_d	1	07	05:31				无	郭金	1	d
idata_dws.t_dws_board_read_d	影响p0核心8点基线产出-管理层报表指标数据	/warehouse/idata_dws.db/t_dws_board_read_d	1	07	05:40	t_dws_board_read_d		p0结果表	掌阅-p0-结果表	郭金	1	d
idata_dws.t_dws_board_read_sc_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_read_sc_d	1	07	05:34				无	郭金	1	d
idata_dws.t_dws_board_recharge_d	影响p0核心8点基线表产出-充值拆解	/warehouse/idata_dws.db/t_dws_board_recharge_d	1	06	05:40	t_dws_board_read_d			无	郭金	1	d
idata_dws.t_dws_board_recharge_sc_d	影响p0核心8点基线表产出-市场前向收入	/warehouse/idata_dws.db/t_dws_board_recharge_sc_d	1	07	05:31				无	郭金	1	d
idata_dws.t_dws_board_recharge_total_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_recharge_total_d	8	00	22.33	t_dws_board_dau_d			无	郭金	1	d
idata_dws.t_dws_board_recharge_total_sc_d	影响p0核心8点基线表产出-市场收入	/warehouse/idata_dws.db/t_dws_board_recharge_total_sc_d	8	00	22.40	t_dws_board_read_d_sc			无	郭金	1	d
idata_dws.t_dws_board_sc_new_read_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_sc_new_read_d	1	07	05:34	t_dws_board_read_d_sc			无	郭金	1	d
idata_dws.t_dws_board_sc_new_readtime_d	影响p0核心8点基线表产出	/warehouse/idata_dws.db/t_dws_board_sc_new_readtime_d	1	07	05:34	t_dws_board_read_d_sc			无	郭金	1	d
